Позиция;#;Гонщик;None;Машина;Время;км/ч
1;88;Джейми Уинкап;None;Holden Commodore ZB;None;None
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;None;None
3;17;Скотт Маклафлин;None;Ford Mustang GT;None;None
4;12;Фабиан Култхард;None;Ford Mustang GT;None;None
5;6;Кэмерон Уотерс;None;Ford Mustang GT;None;None
6;8;Ник Перкат;None;Holden Commodore ZB;None;None
7;25;Час Мостер;None;Holden Commodore ZB;None;None
8;55;Джек ЛеБрок;None;Ford Mustang GT;None;None
9;7;Андре Хаймгартнер;None;Ford Mustang GT;None;None
10;9;Дэвид Рейнольдс;None;Holden Commodore ZB;None;None
11;99;Антон де Паскуале;None;Holden Commodore ZB;None;None
12;18;Марк Винтерботтом;None;Holden Commodore ZB;None;None
13;5;Ли Холдсуорт;None;Ford Mustang GT;None;None
14;2;Брайс Фуллвуд;None;Holden Commodore ZB;None;None
15;44;Джеймс Кортни;None;Ford Mustang GT;None;None
16;15;Рик Келли;None;Ford Mustang GT;None;None
17;20;Скотт Пай;None;Holden Commodore ZB;None;None
18;14;Тодд Хазелвуд;None;Holden Commodore ZB;None;None
19;3;Маколи Джонс;None;Holden Commodore ZB;None;None
20;19;Алекс Дэвисон;None;Holden Commodore ZB;None;None
21;22;Крис Питер;None;Holden Commodore ZB;None;None
22;35;Гарри Джекобсон;None;Holden Commodore ZB;None;None
23;34;Джейк Костеки;None;Holden Commodore ZB;None;None
24;4;Джек Смит;None;Holden Commodore ZB;None;None
